date,pool,salinity,salinity2,pool_temp,total,unmarked,red,orange,pink,yellow,dead
2019-04-15,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2019-04-15,1,0.15,NA,NA,2,NA,NA,NA,NA,1,NA
2019-04-15,2,0.44,NA,NA,3,2,NA,NA,1,NA,NA
2019-04-15,4,3.56,NA,NA,1,1,NA,NA,NA,NA,NA
2019-04-15,5,0.16,NA,NA,6,NA,NA,NA,NA,NA,NA
2019-04-15,6,0.17,NA,NA,9,NA,NA,NA,NA,NA,NA
2019-04-15,7,0.22,NA,NA,29,15,NA,NA,NA,3,NA
2019-04-15,8,0.16,NA,NA,1,NA,NA,NA,NA,1,NA
2019-04-15,9,0.14,NA,NA,2,NA,NA,NA,NA,NA,NA
2019-04-15,10,0.19,NA,NA,1,NA,NA,NA,NA,NA,NA
2019-04-15,11,4.63,NA,NA,6,NA,NA,NA,NA,NA,NA
2019-04-15,12,0.24,NA,NA,6,NA,NA,NA,NA,NA,NA
2019-04-15,13,0.23,NA,NA,6,NA,NA,NA,NA,NA,NA
2019-04-15,15,0.34,NA,NA,12,NA,NA,NA,NA,NA,NA
2019-04-17,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA
2019-04-17,2,0.39,NA,10.6,2,2,NA,NA,NA,NA,NA
2019-04-17,7,0.15,NA,9.7,1,1,NA,NA,NA,NA,NA
2019-04-17,9,3.44,NA,11.5,1,1,NA,NA,NA,NA,NA
2019-04-17,11,9.26,NA,11.8,0,NA,NA,NA,NA,NA,NA
2019-04-17,13,0.22,NA,10.7,0,NA,NA,NA,NA,NA,NA
2019-04-17,15,0.22,NA,8.5,0,NA,NA,NA,NA,NA,NA
2019-04-20,0,NA,NA,NA,3,2,NA,NA,NA,NA,NA
2019-04-20,1,0.17,NA,NA,2,1,NA,NA,NA,1,NA
2019-04-20,2,0.14,NA,NA,2,1,NA,NA,NA,1,NA
2019-04-20,4,3.44,NA,NA,1,1,NA,NA,NA,NA,NA
2019-04-20,5,0.22,NA,NA,2,2,NA,NA,NA,NA,NA
2019-04-20,6,0.25,NA,NA,2,2,NA,NA,NA,NA,NA
2019-04-20,7,0.18,NA,NA,12,8,NA,NA,1,3,NA
2019-04-20,8,0.13,NA,NA,1,NA,NA,NA,NA,1,NA
2019-04-20,9,0.13,NA,NA,1,1,NA,NA,NA,NA,NA
2019-04-20,11,0.21,NA,NA,8,7,NA,NA,NA,1,NA
2019-04-20,12,0.19,NA,NA,4,4,NA,NA,NA,NA,NA
2019-04-20,13,0.2,NA,NA,2,1,NA,NA,NA,1,NA
2019-04-20,15,0.35,NA,NA,9,8,NA,NA,NA,1,NA
2019-04-22,0,NA,NA,NA,4,4,NA,NA,NA,NA,NA
2019-04-22,1,0.13,NA,NA,4,3,NA,NA,NA,1,NA
2019-04-22,2,0.12,NA,NA,4,2,NA,NA,NA,1,NA
2019-04-22,4,2.75,NA,NA,2,1,NA,NA,NA,NA,NA
2019-04-22,5,0.11,NA,NA,4,2,NA,NA,NA,1,NA
2019-04-22,6,0.17,NA,NA,6,2,NA,NA,NA,NA,NA
2019-04-22,7,0.14,NA,NA,6,5,NA,NA,NA,NA,NA
2019-04-22,8,0.11,NA,NA,1,NA,NA,NA,NA,1,NA
2019-04-22,9,0.17,NA,NA,2,2,NA,NA,NA,NA,NA
2019-04-22,10,0.14,NA,NA,1,1,NA,NA,NA,NA,NA
2019-04-22,11,0.36,NA,NA,12,9,NA,NA,NA,1,NA
2019-04-22,12,0.19,NA,NA,3,1,NA,NA,NA,NA,NA
2019-04-22,13,0.2,NA,NA,2,2,NA,NA,NA,NA,NA
2019-04-22,15,0.4,NA,NA,8,6,NA,NA,NA,2,NA
2019-04-24,2,0.13,NA,NA,1,NA,NA,NA,NA,NA,NA
2019-04-24,5,0.13,NA,NA,1,1,NA,NA,NA,NA,NA
2019-04-24,6,0.14,NA,NA,1,NA,NA,NA,NA,NA,NA
2019-04-24,7,0.15,NA,NA,2,1,NA,NA,NA,1,NA
2019-04-24,8,0.14,NA,NA,1,1,NA,NA,NA,NA,NA
2019-04-24,11,0.23,NA,NA,1,NA,NA,NA,NA,NA,NA
2019-04-24,13,0.21,NA,NA,2,1,NA,NA,NA,1,NA
2019-04-24,15,0.34,NA,NA,1,NA,NA,NA,NA,NA,NA
2019-04-26,1,0.11,NA,NA,NA,NA,NA,NA,5,28,NA
2019-04-26,2,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-26,5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-26,7,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-26,8,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-26,9,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-26,10,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-26,11,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-26,12,0.14,NA,NA,1,NA,NA,NA,NA,NA,NA
2019-04-26,13,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-26,15,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-03-20,1,0.85,NA,6.8,1,NA,NA,1,NA,NA,NA
20-03-20,2,0.79,0.12,7.9,2,1,NA,NA,NA,1,NA
20-03-20,7,0.87,NA,8.3,5,3,NA,NA,NA,2,NA
20-03-20,8,0.19,NA,7.1,1,NA,NA,NA,NA,1,NA
20-03-20,11,0.24,NA,7.4,1,1,NA,NA,NA,NA,NA
20-03-20,12,0.15,NA,7.1,1,1,NA,NA,NA,NA,NA
20-03-20,13,0.8,NA,7.3,NA,NA,NA,NA,NA,NA,NA
20-03-24,7,0.41,NA,8.1,2,2,NA,NA,NA,NA,NA
20-03-24,11,0.27,0.81,9.9,2,NA,NA,1,NA,1,NA
20-03-24,12,0.13,NA,7.2,2,2,NA,NA,NA,NA,NA
20-03-24,13,0.18,NA,7.8,1,1,NA,NA,NA,NA,NA
20-03-29,1,0.18,NA,6.7,1,NA,NA,1,NA,NA,NA
20-03-29,2,0.04,10.03,7.3,1,NA,NA,1,NA,NA,NA
20-03-29,7,0.26,NA,6.9,3,NA,NA,2,NA,1,NA
20-03-29,8,0.23,NA,7,2,NA,NA,NA,NA,2,NA
20-03-29,11,0.11,NA,6.9,7,4,NA,2,NA,1,NA
20-03-29,12,0.21,NA,7.1,3,2,NA,1,NA,NA,NA
20-03-29,13,0.3,NA,6.6,5,4,NA,1,NA,NA,NA
20-03-31,7,NA,NA,NA,1,1,NA,NA,NA,NA,NA
20-03-31,8,0.13,NA,8.4,1,NA,1,NA,NA,NA,NA
20-05-01,1,NA,NA,9,2,2,NA,NA,NA,NA,NA
20-05-01,5,0.13,NA,8.6,1,NA,NA,1,NA,NA,NA
20-05-01,6,0.12,NA,7.8,1,2,NA,NA,NA,NA,NA
20-05-01,7,0.22,NA,8.4,6,2,NA,1,3,NA,NA
20-05-01,11,0.41,NA,8.2,1,NA,NA,NA,1,NA,NA
20-05-01,12,0.41,NA,8.3,2,2,NA,NA,NA,NA,NA
20-05-01,13,0.37,NA,8.1,3,2,NA,NA,1,NA,NA
20-05-01,15,0.26,NA,8.1,2,2,NA,NA,NA,NA,NA
20-05-02,1,0.31,NA,11.3,NA,NA,NA,NA,NA,NA,NA
20-05-02,6,0.05,NA,10.4,1,NA,NA,NA,NA,1,NA
20-05-02,7,15.23,NA,18.4,NA,NA,NA,NA,NA,NA,NA
20-05-02,11,0.42,NA,14.1,1,1,NA,NA,NA,NA,NA
20-05-02,12,0.31,NA,13.1,1,NA,NA,1,NA,NA,NA
20-05-02,13,0.28,NA,14.1,NA,NA,NA,NA,NA,NA,NA
20-05-02,15,1.19,NA,13.5,1,NA,NA,1,NA,1,NA
20-05-02,17,0.46,NA,12.7,1,1,NA,NA,NA,NA,NA
20-05-03,8,0.16,NA,12.3,2,1,NA,NA,NA,1,NA
